Date,Token,Nodes
2019-03-29,1139,"[92417, 180546, 165572, 185867, 185871, 57235, 185556, 93525, 169366, 185557, 185560, 193177, 63262, 203423, 7842, 108771, 3243, 14894, 102899, 85363, 68405]"
2019-03-29,1424,"[74880, 170688, 210374, 74312, 57235, 195476, 210453, 200853, 108756, 76376, 103193, 185757, 179741, 108189, 82782, 169958, 210791, 76136, 81321, 181096, 101229]"
2019-03-30,266,"[155842, 72836, 174669, 166798, 186833, 68306, 64729, 102686, 106403, 5411, 72547, 64355, 64935, 72552, 201004, 66168, 3574, 210935, 105144, 196669, 1790]"
2019-04-03,853,"[186368, 191812, 187141, 193925, 186375, 185862, 184392, 185228, 183312, 179475, 175515, 175516, 191276, 182188, 186092, 175215, 175216, 191473, 191284, 175351, 179448]"
2019-04-04,1139,"[92417, 180546, 186833, 185556, 185557, 169366, 185560, 193177, 1052, 112157, 7842, 3047, 186153, 3243, 14894, 200943, 102899, 85363, 68405, 185587, 187324]"
2019-04-05,1420,"[210433, 189571, 107261, 210445, 212429, 105677, 108752, 185757, 201057, 101733, 169958, 212069, 2283, 66668, 72622, 169456, 190132, 109688, 214332, 206653, 185471]"
2019-04-10,668,"[156417, 109185, 161217, 192200, 175561, 194123, 168766, 107989, 80407, 108377, 104349, 175775, 108003, 108007, 109289, 179627, 107950, 108271, 174777, 108217, 161214]"
2019-04-12,668,"[109185, 175556, 192200, 70462, 175634, 218771, 107989, 80407, 158807, 109796, 179301, 161706, 108650, 160557, 107950, 8564, 175989, 208055, 174777, 161214, 192383]"
2019-04-16,1311,"[189571, 195076, 216773, 224394, 219147, 193807, 186833, 152658, 186579, 219733, 165020, 214879, 193824, 162021, 213867, 218860, 61745, 224628, 206392, 224314, 193531]"
2019-04-18,1311,"[218948, 225669, 225037, 186833, 167957, 219733, 76376, 182489, 195231, 193824, 62885, 218983, 218860, 105262, 210927, 219505, 224628, 193849, 224186, 194107, 12157]"
2019-04-26,381,"[83778, 224771, 82630, 101639, 82631, 229192, 154378, 166481, 188627, 86486, 169623, 93145, 188635, 86880, 188322, 180899, 229157, 188711, 193578, 188477, 82494]"
2019-04-26,1311,"[189571, 223427, 194373, 228296, 228235, 217107, 219733, 229276, 225054, 193824, 13221, 161830, 195049, 228841, 226603, 228334, 218863, 61745, 229173, 194169, 229438]"
2019-04-28,829,"[182210, 162374, 162439, 89991, 162748, 166156, 225422, 166674, 162516, 153750, 162524, 162399, 71329, 228783, 91504, 156785, 15220, 162614, 162679, 164156, 162494]"
2019-05-02,1133,"[102083, 225929, 226506, 41421, 192782, 192335, 29138, 226199, 206809, 188509, 211295, 169958, 215782, 229866, 200749, 38446, 230895, 8564, 197176, 162363, 193404]"
2019-05-03,1139,"[95296, 92417, 180546, 186833, 57235, 185556, 185557, 182230, 185558, 165974, 193177, 93525, 107681, 7842, 190114, 186153, 3243, 185584, 185587, 85363, 201212]"
2019-05-04,1133,"[164803, 232071, 158408, 225929, 157769, 229706, 14664, 192782, 192335, 29138, 158357, 232150, 226199, 206809, 213786, 181096, 230443, 232240, 190964, 195006, 87423]"
2019-05-08,983,"[233985, 229572, 233478, 184073, 233485, 208784, 190227, 195162, 233947, 215838, 200288, 208803, 229476, 232997, 229157, 67949, 233518, 167539, 233470, 233852, 210622]"
2019-05-09,1311,"[103940, 193228, 224974, 234447, 212944, 234574, 232854, 234135, 234008, 229273, 234331, 224604, 193824, 228453, 182246, 99178, 61745, 232948, 233972, 234486, 232951]"
2019-05-11,668,"[109185, 186373, 192200, 111626, 164683, 174669, 225743, 235155, 235475, 107989, 165975, 104349, 108003, 19556, 213160, 108650, 198062, 107950, 8564, 174777, 187002]"
2019-05-15,1311,"[157000, 233097, 194894, 234897, 226070, 193051, 234331, 193824, 222688, 210087, 210279, 232747, 135340, 218860, 194606, 184494, 235628, 236596, 199540, 200189, 176190]"
2019-05-17,1311,"[231873, 237827, 103940, 231173, 208067, 157000, 237970, 235347, 206741, 193824, 228453, 195302, 210279, 237481, 237996, 61745, 106867, 238004, 233589, 193976, 195065]"
2019-05-20,966,"[181376, 182145, 183042, 181315, 193095, 187728, 170388, 184598, 186648, 216729, 162073, 170267, 1052, 208029, 23643, 227046, 178088, 155246, 170478, 181746, 174966]"
2019-05-23,1311,"[259202, 193993, 193804, 375825, 193824, 363041, 290276, 217701, 377573, 247525, 383973, 207593, 231399, 194606, 236721, 61745, 237883, 353783, 180283, 237948, 178877]"
2019-05-24,1311,"[390210, 390275, 103940, 390029, 390030, 325523, 209749, 193824, 383522, 390306, 237538, 228453, 390182, 222566, 237996, 235246, 390255, 390065, 12466, 386297, 193852]"
2019-05-25,1049,"[189120, 175809, 189121, 189123, 189128, 217353, 189129, 189130, 189133, 189134, 189137, 189138, 189139, 189140, 189143, 217334, 217337, 217339, 189117, 189118, 217343]"
2019-05-27,1139,"[95296, 186833, 185556, 93525, 165974, 215510, 185557, 213537, 190114, 177571, 186153, 390954, 3243, 217323, 85363, 324084, 102899, 185587, 71542, 86010, 208893]"
2019-05-29,1311,"[225915, 391303, 193351, 72457, 157000, 186060, 194061, 391628, 152658, 193684, 226070, 169753, 193824, 391588, 228453, 224628, 391673, 391354, 180283, 193852, 194110]"
2019-05-30,1139,"[95296, 64834, 95107, 180546, 186833, 185556, 185557, 165974, 182230, 392285, 107681, 190114, 7842, 392232, 186153, 3243, 217323, 185587, 85363, 71542, 208893]"
2019-05-30,1604,"[90691, 237449, 390026, 103883, 390222, 344209, 62034, 174740, 157718, 169110, 203094, 392282, 392158, 250143, 272738, 189676, 275948, 186486, 231287, 109688, 294075]"
2019-05-31,1604,"[392384, 90691, 392390, 237449, 390026, 196809, 390090, 392524, 95440, 344209, 62034, 86483, 169110, 157718, 272738, 188009, 189676, 275948, 391346, 391414, 294075]"
2019-06-03,839,"[219993, 393118, 393119, 393120, 393121, 393122, 393123, 393124, 393125, 393126, 393127, 393128, 393129, 393130, 393131, 393132, 393133, 393134, 393135, 393137, 393138]"
2019-06-07,1049,"[175809, 217349, 189126, 217353, 217354, 189129, 217356, 90765, 189130, 189136, 95249, 189140, 189143, 189144, 189146, 217326, 217328, 217332, 217337, 217339, 189116]"
