Token,Nodes,Smart_Contract_Flags,Dates
63685,"(6504172,)","(0,)","2023-06-20, 2023-06-21, 2023-06-23, 2023-09-30"
126645,"(6504172,)","(0,)","2023-06-20, 2023-06-21, 2023-06-23, 2023-09-30"
144429,"(6759235,)","(0,)","2023-06-28, 2023-07-21"
177943,"(6413811,)","(0,)","2023-06-28, 2023-07-09, 2023-07-12, 2023-07-14"
30151,"(2664867,)","(1,)","2023-06-30, 2023-07-14, 2023-10-18, 2023-10-19, 2023-10-21, 2023-10-28, 2023-10-29, 2023-11-19, 2023-12-23, 2023-12-24, 2024-02-25"
144948,"(3362749,)","(0,)","2023-07-06, 2023-07-07"
179915,"(6704175,)","(0,)","2023-07-14, 2023-10-09"
172004,"(6769919,)","(0,)","2023-07-17, 2023-07-18, 2023-07-26, 2023-07-31, 2023-09-25"
179768,"(6618672,)","(0,)","2023-07-22, 2023-07-30"
183186,"(5688692,)","(0,)","2023-07-25, 2023-07-28"
186539,"(882567,)","(0,)","2023-07-28, 2023-09-18, 2023-11-17, 2023-11-21"
169062,"(7201604,)","(0,)","2023-09-20, 2024-03-13"
153164,"(6185207,)","(0,)","2023-08-29, 2023-09-29"
101845,"(6582093,)","(0,)","2023-08-30, 2023-09-05"
59038,"(1790571,)","(0,)","2023-10-08, 2023-10-11"
23458,"(2626166,)","(0,)","2023-10-12, 2023-10-29"
196883,"(7322877,)","(0,)","2023-10-14, 2023-11-01"
105630,"(7405293,)","(0,)","2023-10-26, 2023-10-29, 2023-11-01"
102177,"(2419554,)","(0,)","2023-10-27, 2023-11-02"
181403,"(1819013,)","(0,)","2023-11-02, 2023-11-26"
203219,"(7452936,)","(0,)","2024-02-04, 2024-02-23"
206018,"(7533984,)","(0,)","2023-12-14, 2024-02-08"
66239,"(3807945,)","(0,)","2023-12-24, 2023-12-25"
18520,"(1743459,)","(0,)","2023-12-25, 2023-12-27"
207170,"(7592014,)","(0,)","2023-12-31, 2024-01-01"
199815,"(7607525,)","(0,)","2024-01-05, 2024-01-09"
202901,"(7828554,)","(0,)","2024-03-04, 2024-03-06"
14231,"(7605982,)","(0,)","2024-01-16, 2024-03-20"
93222,"(6891449,)","(0,)","2024-01-24, 2024-02-06"
205200,"(7678131,)","(0,)","2024-01-24, 2024-01-25"
15170,"(2263433,)","(0,)","2024-01-26, 2024-01-29, 2024-01-31"
183869,"(1881692,)","(0,)","2024-02-08, 2024-03-13"
34741,"(6110950,)","(0,)","2024-02-14, 2024-02-21"
24418,"(7906310,)","(0,)","2024-03-21, 2024-03-23"
