
File: /home/prio/loc_project/Data/19000000to19249999_ERC721Transaction.csv
Matching Rows:
131      1062796  1456485109  0x6357e32f091df1422cd28f22fc462f3828fe6ee70876e938b5a6dfc955970f97  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x2cc2cef3cec3b7ebdc4a04b14a660f65814a4112               0             0    100000000
132      1062796  1456485109  0x6357e32f091df1422cd28f22fc462f3828fe6ee70876e938b5a6dfc955970f97  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1       130000
182      1113864  1457365521  0xebbef453d508edc11c6adde539892177794fcf41da07f1d10aa114899c8a24fe  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1       102876
183      1113864  1457365521  0xebbef453d508edc11c6adde539892177794fcf41da07f1d10aa114899c8a24fe  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x2cc2cef3cec3b7ebdc4a04b14a660f65814a4112  0x9ac937835f6a06657441ac77788b72e3bddf2ae1               0             0    110000000
185      1113897  1457366149  0x9db4e2f7edd50d288d8451838f024dbd77c3e65a43ecdc005d291e2b220a6eca  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x40989715b31e3279311b6509a41fb0adf6a2d04b               0             0   1000000000
186      1113897  1457366149  0x9db4e2f7edd50d288d8451838f024dbd77c3e65a43ecdc005d291e2b220a6eca  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1      1300000
256      1163179  1458173233  0xf86abfd11b7d11dc42ed92d69c88867160ca889ea43a34dd65da6dc0c763d1f0  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1         1698
257      1163179  1458173233  0xf86abfd11b7d11dc42ed92d69c88867160ca889ea43a34dd65da6dc0c763d1f0  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x38150290c18d9b28c6d13b12bebf779c36f76cb1  0x9ac937835f6a06657441ac77788b72e3bddf2ae1               0             0    100000000
266      1168099  1458243268  0x2ccdc6cbb49fcb01eeabac9053c62132cb946e2b06895614eec10a0e5d48d640  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1         1216
267      1168099  1458243268  0x2ccdc6cbb49fcb01eeabac9053c62132cb946e2b06895614eec10a0e5d48d640  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x38150290c18d9b28c6d13b12bebf779c36f76cb1  0x9ac937835f6a06657441ac77788b72e3bddf2ae1               0             0     10000000
283      1186759  1458510558  0xcdfe2ba3921a94d87688361dfe5dc7a1428a8ee875eb6b72880ac0b8e113553f  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1         3958
284      1186759  1458510558  0xcdfe2ba3921a94d87688361dfe5dc7a1428a8ee875eb6b72880ac0b8e113553f  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x38150290c18d9b28c6d13b12bebf779c36f76cb1  0x9ac937835f6a06657441ac77788b72e3bddf2ae1               0             0    100000000
303      1224763  1459053788  0x1846f1d06c1ea8e9a5ec4d0ff0c8a3755c4a6d93bb30d5191d639f900cbed3ca  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1        14085
304      1224763  1459053788  0x1846f1d06c1ea8e9a5ec4d0ff0c8a3755c4a6d93bb30d5191d639f900cbed3ca  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x38150290c18d9b28c6d13b12bebf779c36f76cb1  0x9ac937835f6a06657441ac77788b72e3bddf2ae1               0             0     10000000
338      1264663  1459625769  0x5d7df2bdc2d1b96bcadc0bd7d770dc23802c849770c2fc9a7cfcc122ac799e3a  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1        17151
339      1264663  1459625769  0x5d7df2bdc2d1b96bcadc0bd7d770dc23802c849770c2fc9a7cfcc122ac799e3a  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x01d80e458ae6cd5d2bce90b06ff2d3fa993b65f5               0             0    100000000
340      1264663  1459625769  0x5d7df2bdc2d1b96bcadc0bd7d770dc23802c849770c2fc9a7cfcc122ac799e3a  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1       130000
410      1372428  1461172667  0x7bfaef9cd8dacd427a9f84d25cfecfd4d53d03bf606841a24ac3b41cade655de  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1        25571
411      1372428  1461172667  0x7bfaef9cd8dacd427a9f84d25cfecfd4d53d03bf606841a24ac3b41cade655de  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x01d80e458ae6cd5d2bce90b06ff2d3fa993b65f5               0             0     10000000
412      1372428  1461172667  0x7bfaef9cd8dacd427a9f84d25cfecfd4d53d03bf606841a24ac3b41cade655de  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1        13000
