Token,Nodes,Dates
666,"[158848, 402754, 391555, 156233, 190410, 131724, 237201, 151314, 402837, 104597, 391193, 223097, 104349, 186978, 402403, 112420, 112421, 404837, 409062, 155177, 178603, 104812, 112242, 158964, 157045, 191609, 156475, 156029, 158846, 158847]",2019-07-20
1139,"[92417, 180546, 401292, 185871, 186833, 413905, 402323, 185556, 185557, 392982, 165974, 404504, 182230, 185560, 230430, 107681, 85538, 7842, 210210, 53924, 402153, 3243, 102899, 185587, 324084, 71542, 171126, 402364, 208893, 67391]",2019-08-02
381,"[417025, 83778, 416643, 83717, 82630, 82631, 416455, 417161, 415561, 164941, 417103, 417428, 28501, 86486, 391193, 93145, 180763, 415965, 417055, 417056, 89696, 416608, 180899, 416938, 193578, 185855, 417074, 407551, 179324, 83583]",2019-08-05
1139,"[95296, 180546, 417413, 401292, 185871, 186833, 413905, 185556, 392982, 409622, 404504, 182230, 165974, 407773, 230430, 186153, 217323, 233137, 181169, 185587, 324084, 68405, 71542, 413303, 85048, 171126, 404731, 208893, 416574, 67391]",2019-08-05
1139,"[401292, 185871, 404731, 186833, 185556, 185557, 392982, 165974, 404504, 182230, 417498, 230430, 7842, 190114, 186153, 402153, 3243, 217323, 29294, 181169, 110067, 110068, 233269, 409973, 71542, 85048, 171126, 324084, 402491, 208893]",2019-08-06
1049,"[175809, 189123, 189124, 217349, 217350, 189126, 189128, 217353, 189129, 189130, 217358, 189134, 189136, 189138, 189139, 189143, 189146, 217337, 175805, 217327, 217328, 217330, 217341, 217332, 391285, 175801, 189116, 189117, 189118, 189119]",2019-08-08
1139,"[95296, 2939, 185871, 186833, 402323, 185556, 419284, 392982, 182230, 404504, 185557, 165974, 230430, 162271, 420064, 7842, 188131, 418790, 3047, 418730, 3243, 85363, 185587, 68405, 409973, 171126, 85048, 404731, 208893, 67391]",2019-08-09
381,"[420864, 83778, 87620, 82630, 82631, 414534, 398919, 84554, 164941, 82446, 420988, 166481, 421074, 168274, 93145, 226778, 83229, 420959, 420576, 222943, 421028, 421092, 421228, 397617, 109364, 420409, 420986, 418620, 80637, 97790]",2019-08-11
1311,"[421250, 421443, 193799, 237320, 161996, 206797, 417038, 417231, 152658, 110291, 102292, 413433, 422678, 416153, 183231, 418075, 108189, 193824, 420448, 421282, 212393, 223469, 413487, 421503, 420405, 194999, 420600, 93881, 193531, 2623]",2019-08-12
641,"[426112, 107009, 13953, 207680, 109320, 106696, 95305, 281867, 105743, 105681, 106002, 194069, 106198, 104728, 111450, 106075, 105886, 98208, 8609, 23523, 154922, 426090, 407916, 156153, 412848, 370288, 107700, 107892, 108537, 91262]",2019-08-20
381,"[83778, 398083, 427012, 82627, 194310, 83139, 427016, 82630, 82631, 164941, 426900, 85973, 427542, 426263, 86486, 93145, 418011, 83229, 426718, 399838, 180899, 427045, 427046, 426535, 426473, 109359, 427122, 83128, 426681, 83583]",2019-08-23
381,"[395200, 428994, 429250, 83717, 194310, 82630, 82631, 429131, 164941, 421391, 168274, 28501, 86486, 428823, 93145, 425372, 89696, 429089, 194914, 194340, 106666, 420409, 420784, 429104, 161458, 429040, 86068, 83583, 422201, 87615]",2019-08-28
641,"[158848, 107009, 13953, 179464, 95305, 111819, 105743, 106002, 238613, 106454, 111450, 429275, 105886, 427999, 98208, 23523, 402403, 1763, 102694, 154922, 236715, 112172, 105645, 111085, 49842, 4979, 107700, 425977, 207163, 106749]",2019-08-29
641,"[107009, 13953, 95305, 105743, 102352, 187669, 106198, 106454, 111450, 108703, 108448, 426528, 8609, 98208, 402403, 23523, 148840, 108777, 112172, 77485, 165103, 4017, 107700, 107892, 157045, 162040, 215166, 106749, 158846, 106047]",2019-09-03
853,"[188672, 236224, 230337, 185924, 375110, 186375, 184392, 185228, 189840, 230288, 179475, 233299, 180757, 232919, 175515, 182558, 175391, 182188, 234477, 175215, 236016, 228720, 185138, 228719, 191284, 191473, 183990, 182710, 237114, 175351]",2019-09-03
1814,"[175047, 185550, 210959, 103313, 390676, 425685, 400598, 421464, 432153, 429145, 421466, 413019, 430495, 230304, 400806, 428202, 425707, 401068, 423980, 169324, 425451, 428780, 233137, 400883, 432180, 400756, 400627, 400886, 180346, 417661]",2019-09-07
1814,"[209596, 402950, 400781, 400782, 428559, 400590, 400592, 410322, 413560, 434684, 400598, 425687, 414295, 414298, 413019, 401820, 434716, 430372, 165222, 91688, 432426, 184107, 429034, 417712, 393776, 400688, 400883, 402744, 398012, 400831]",2019-09-14
